date,zcta_num,sum_at_least_1_dose,sum_indicator,sum_n_fully_vaccinated_cumulative,sum_perc_at_least_1_dose,sum_perc_fully,sum_population_estimate
2021-02-16,10001,1391.0,5.4470709621068,1193.0,5.4470709621068,4.67171506670986,25536.6601550936
2021-02-16,10002,5036.0,7.87204379619147,2393.0,7.87204379619147,3.74062764183602,63973.2213181593
2021-02-16,10003,3226.0,6.40097895612774,2750.0,6.40097895612774,5.45650716966871,50398.5409436741
2021-02-16,10004,226.0,8.41729483689106,140.0,8.41729483689106,5.21425343878207,2684.94812620195
2021-02-16,10005,298.0,3.6476886583345,342.0,3.6476886583345,4.18627356090737,8169.55688690998
2021-02-16,10006,140.0,4.43646794850982,116.0,4.43646794850982,3.67593058590814,3155.66350585323
2021-02-16,10007,433.0,7.76904432495826,329.0,7.76904432495826,5.90303829771655,5573.40107597245
2021-02-16,10009,3440.0,6.80326373582198,2595.0,6.80326373582198,5.13211319606339,50563.9665545668
2021-02-16,10010,1838.0,5.99256829374622,2456.0,5.99256829374622,8.00747972222019,30671.3233776262
2021-02-16,10011,3150.0,6.98689099427976,2596.0,6.98689099427976,5.75808540353977,45084.4302935159
2021-02-16,10012,1492.0,7.14396919712181,1042.0,7.14396919712181,4.98928679852609,20884.7485036904
2021-02-16,10013,1933.0,7.83996691046738,1086.0,7.83996691046738,4.40465807799668,24655.7163069042
2021-02-16,10014,1816.0,6.57355140675901,1517.0,6.57355140675901,5.49123209474307,27625.8583470233
2021-02-16,10016,3073.0,6.50792666247914,4166.0,6.50792666247914,8.82265619130754,47219.3397279214
2021-02-16,10017,1070.0,7.36642402480229,1015.0,7.36642402480229,6.98777606091058,14525.3653115457
2021-02-16,10018,333.0,3.00691596550671,327.0,3.00691596550671,2.9527372994615497,11074.4697829919
2021-02-16,10019,2492.0,6.21769713291944,2670.0,6.21769713291944,6.6618183566994,40079.147419487
2021-02-16,10021,3840.0,9.68491872433335,6557.0,9.68491872433335,16.5375031446494,39649.2743955817
2021-02-16,10022,2746.0,9.77451494048766,3207.0,9.77451494048766,11.4154659192075,28093.4656780319
2021-02-16,10023,4942.0,9.23491515142906,5584.0,9.23491515142906,10.4345945377539,53514.2978464209
2021-02-16,10024,4971.0,10.1672580616523,5633.0,10.1672580616523,11.5212562183238,48892.2379058032
2021-02-16,10025,7569.0,9.6595554899105,7814.0,9.6595554899105,9.9722244151355,78357.6429361154
2021-02-16,10026,1585.0,5.04235148390922,1343.0,5.04235148390922,4.27247826049848,31433.7468353393
2021-02-16,10027,2562.0,4.8552983464320505,2168.0,4.8552983464320505,4.10862092703539,52767.0972450685
2021-02-16,10028,3447.0,8.59903881087761,5092.0,8.59903881087761,12.7027286408439,40085.8755939049
2021-02-16,10029,3745.0,5.97928509445324,3601.0,5.97928509445324,5.74937399869856,62632.9057879193
2021-02-16,10030,943.0,4.07192641676208,734.0,4.07192641676208,3.16945279947335,23158.5717295416
2021-02-16,10031,2597.0,5.31102474421946,1726.0,5.31102474421946,3.52977616808733,48898.2847015839
2021-02-16,10032,3495.0,6.64380705822497,3621.0,6.64380705822497,6.88332628264167,52605.3807609181
2021-02-16,10033,2972.0,6.15029497833386,2452.0,6.15029497833386,5.07420029841003,48322.8854952438
2021-02-16,10034,1996.0,5.79331497689813,1437.0,5.79331497689813,4.17083848787706,34453.5038740238
2021-02-16,10035,1797.0,6.37793871009342,1946.0,6.37793871009342,6.90677169162036,28175.2472339716
2021-02-16,10036,1508.0,5.96298441237579,2030.0,5.96298441237579,8.0270944012751,25289.3500253035
2021-02-16,10037,901.0,5.19511080390288,752.0,5.19511080390288,4.33598593178132,17343.2297021098
2021-02-16,10038,1487.0,7.28142121156671,822.0,7.28142121156671,4.02510305037514,20421.837396769
2021-02-16,10039,801.0,3.83542402423985,748.0,3.83542402423985,3.58164440715531,20884.2619469891
2021-02-16,10040,2309.0,6.38752272770223,2051.0,6.38752272770223,5.67380212841805,36148.5993620975
2021-02-16,10044,547.0,5.56346429167027,1329.0,5.56346429167027,13.5170823466724,9832.00343029036
2021-02-16,10065,2178.0,8.9020392186151,3514.0,8.9020392186151,14.3626105666728,24466.3042535869
2021-02-16,10069,297.0,5.52471506342011,471.0,5.52471506342011,8.76141681774704,5375.84285507279
2021-02-16,10075,2190.0,11.0251086371439,3144.0,11.0251086371439,15.8278271941463,19863.7498466168
2021-02-16,10128,4385.0,8.89488545185085,6934.0,8.89488545185085,14.0654813507717,49297.9929166774
2021-02-16,10280,453.0,6.02620076743972,348.0,6.02620076743972,4.62939926505303,7517.17404517309
2021-02-16,10282,234.0,5.3228002202894,314.0,5.3228002202894,7.1425609793627,4396.18227841881
2021-02-16,10301,2773.0,9.00645318099321,2408.0,9.00645318099321,7.82096619539548,30789.034754014
2021-02-16,10302,970.0,7.00774760411959,587.0,7.00774760411959,4.24077097280227,13841.8227196107
2021-02-16,10303,1146.0,5.94658452180878,777.0,5.94658452180878,4.0318465736871,19271.5666580893
2021-02-16,10304,2381.0,7.3566014144689,2412.0,7.3566014144689,7.4523824492646,32365.4887067426
2021-02-16,10305,2834.0,8.25834753302046,2201.0,8.25834753302046,6.41376955546155,34316.7926594084
2021-02-16,10306,4599.0,10.8537597747953,2443.0,10.8537597747953,5.76554362466297,42372.413757303
2021-02-16,10307,845.0,7.51292291706814,616.0,7.51292291706814,5.47687635137748,11247.2869657733
2021-02-16,10308,2268.0,9.5380421509256,1203.0,9.5380421509256,5.05919960650948,23778.4648475254
